"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","297","has title","chromium","Tue Sep 16 06:10:16 UTC 2025","passed","Tue Sep 16 06:10:16 UTC 2025","","example.spec.ts","",""
"","1311","Scenario2:Choose The flight and verify detail data is correct","chromium","Tue Sep 16 06:09:37 UTC 2025","passed","Tue Sep 16 06:09:38 UTC 2025","","bookFlight.spec.ts","",""
"","3320","Visual test","chromium","Tue Sep 16 06:11:28 UTC 2025","failed","Tue Sep 16 06:11:32 UTC 2025","","visual.spec.ts","",""
"","2639","Scenario3: Input personal information for booking","chromium","Tue Sep 16 06:09:38 UTC 2025","passed","Tue Sep 16 06:09:41 UTC 2025","","bookFlight.spec.ts","",""
"","2401","Scenario4: Verify Confirmation page","chromium","Tue Sep 16 06:09:41 UTC 2025","passed","Tue Sep 16 06:09:43 UTC 2025","","bookFlight.spec.ts","",""
"","20078","Contact Us: Fill and submit the form","chromium","Tue Sep 16 06:10:59 UTC 2025","broken","Tue Sep 16 06:11:19 UTC 2025","","niteco.spec.ts","",""
"","492","get started link","chromium","Tue Sep 16 06:10:16 UTC 2025","passed","Tue Sep 16 06:10:17 UTC 2025","","example.spec.ts","",""
"","10080","Scenario2: Email Testing with Mailosaur.com","chromium","Tue Sep 16 06:10:05 UTC 2025","failed","Tue Sep 16 06:10:15 UTC 2025","","booking2.spec.ts","",""
"","940","Scenario1: Select City and Destination","chromium","Tue Sep 16 06:09:43 UTC 2025","passed","Tue Sep 16 06:09:44 UTC 2025","","booking2.spec.ts","",""
"","1328","Scenario1: Select City and Destination","chromium","Tue Sep 16 06:09:35 UTC 2025","passed","Tue Sep 16 06:09:36 UTC 2025","","bookFlight.spec.ts","",""
