"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9594","Scenario2: Email Testing with Mailosaur.com","chromium","Tue Sep 16 08:38:43 UTC 2025","failed","Tue Sep 16 08:38:53 UTC 2025","","booking2.spec.ts","",""
"","383","get started link","chromium","Tue Sep 16 08:38:54 UTC 2025","passed","Tue Sep 16 08:38:54 UTC 2025","","example.spec.ts","",""
"","877","Scenario4: Verify Confirmation page","chromium","Tue Sep 16 08:38:21 UTC 2025","passed","Tue Sep 16 08:38:22 UTC 2025","","bookFlight.spec.ts","",""
"","912","Scenario3: Input personal information for booking","chromium","Tue Sep 16 08:38:21 UTC 2025","passed","Tue Sep 16 08:38:21 UTC 2025","","bookFlight.spec.ts","",""
"","708","Scenario2:Choose The flight and verify detail data is correct","chromium","Tue Sep 16 08:38:20 UTC 2025","passed","Tue Sep 16 08:38:21 UTC 2025","","bookFlight.spec.ts","",""
"","20079","Contact Us: Fill and submit the form","chromium","Tue Sep 16 08:39:36 UTC 2025","broken","Tue Sep 16 08:39:56 UTC 2025","","niteco.spec.ts","",""
"","661","Scenario1: Select City and Destination","chromium","Tue Sep 16 08:38:18 UTC 2025","passed","Tue Sep 16 08:38:19 UTC 2025","","bookFlight.spec.ts","",""
"","263","has title","chromium","Tue Sep 16 08:38:54 UTC 2025","passed","Tue Sep 16 08:38:54 UTC 2025","","example.spec.ts","",""
"","3143","Visual test","chromium","Tue Sep 16 08:40:22 UTC 2025","failed","Tue Sep 16 08:40:25 UTC 2025","","visual.spec.ts","",""
"","487","Scenario1: Select City and Destination","chromium","Tue Sep 16 08:38:22 UTC 2025","passed","Tue Sep 16 08:38:23 UTC 2025","","booking2.spec.ts","",""
